timestamp,openweather_aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3
2023-08-21 00:00:00+00:00,2.0,9.83,30.55,205.28,0.0,1.97,35.05,2.09,0.46
2023-08-21 01:00:00+00:00,2.0,10.59,32.89,205.28,0.0,2.25,35.05,2.21,0.46
2023-08-21 02:00:00+00:00,2.0,11.94,38.25,206.95,0.01,2.83,34.33,2.21,0.47
2023-08-21 03:00:00+00:00,2.0,13.34,44.71,236.99,0.45,4.5,32.54,2.26,0.66
2023-08-21 04:00:00+00:00,2.0,13.69,44.81,280.38,1.84,5.91,32.54,2.47,0.83
2023-08-21 05:00:00+00:00,2.0,13.13,42.5,277.04,2.1,5.1,36.12,2.41,0.82
2023-08-21 06:00:00+00:00,2.0,12.73,40.84,253.68,1.55,3.68,40.77,2.26,0.74
2023-08-21 07:00:00+00:00,2.0,12.66,41.69,233.65,1.13,2.72,42.92,2.03,0.57
2023-08-21 08:00:00+00:00,2.0,12.63,41.8,230.31,1.06,2.53,42.56,2.03,0.51
2023-08-21 09:00:00+00:00,2.0,11.52,38.51,233.65,1.15,2.61,41.48,1.91,0.49
2023-08-21 10:00:00+00:00,2.0,10.51,35.75,233.65,1.16,2.59,39.34,1.76,0.45
2023-08-21 11:00:00+00:00,2.0,10.89,38.7,230.31,1.22,2.74,36.84,1.76,0.43
2023-08-21 12:00:00+00:00,2.0,12.64,46.25,230.31,1.26,3.26,33.62,1.7,0.4
2023-08-21 13:00:00+00:00,3.0,14.0,50.88,243.66,1.06,5.01,29.68,1.7,0.4
2023-08-21 14:00:00+00:00,2.0,13.94,48.24,247.0,0.21,6.77,26.82,1.62,0.42
2023-08-21 15:00:00+00:00,2.0,12.97,43.33,233.65,0.03,5.65,27.54,1.53,0.46
2023-08-21 16:00:00+00:00,2.0,12.09,41.25,233.65,0.02,4.93,28.25,1.65,0.56
2023-08-21 17:00:00+00:00,2.0,12.25,43.45,223.64,0.01,3.98,28.61,1.64,0.55
2023-08-21 18:00:00+00:00,2.0,13.1,47.12,220.3,0.01,3.6,28.97,1.62,0.53
2023-08-21 19:00:00+00:00,2.0,13.51,48.13,220.3,0.01,3.43,28.97,1.56,0.42
2023-08-21 20:00:00+00:00,2.0,13.07,46.37,206.95,0.01,2.74,29.33,1.46,0.24
2023-08-21 21:00:00+00:00,2.0,12.17,42.61,198.6,0.01,1.93,30.4,1.45,0.22
2023-08-21 22:00:00+00:00,2.0,11.14,39.2,196.93,0.0,1.41,31.11,1.36,0.21
2023-08-21 23:00:00+00:00,2.0,10.42,37.38,195.26,0.0,1.22,31.47,1.34,0.2
2023-08-22 00:00:00+00:00,2.0,10.04,36.61,195.26,0.0,1.16,31.83,1.33,0.19
2023-08-22 01:00:00+00:00,2.0,10.06,35.75,195.26,0.0,1.3,31.47,1.4,0.19
2023-08-22 02:00:00+00:00,2.0,10.8,37.94,196.93,0.01,1.67,30.76,1.46,0.22
2023-08-22 03:00:00+00:00,2.0,12.44,41.81,216.96,0.29,3.0,29.33,1.59,0.37
2023-08-22 04:00:00+00:00,2.0,14.41,46.02,253.68,1.27,4.71,28.61,1.83,0.52
2023-08-22 05:00:00+00:00,2.0,15.52,47.44,260.35,1.65,4.8,30.04,1.94,0.57
2023-08-22 06:00:00+00:00,2.0,15.32,47.41,247.0,1.47,3.9,32.54,1.94,0.6
2023-08-22 07:00:00+00:00,2.0,13.79,44.05,233.65,1.27,3.0,34.69,1.82,0.53
2023-08-22 08:00:00+00:00,2.0,12.38,41.2,230.31,1.2,2.68,35.76,1.82,0.49
2023-08-22 09:00:00+00:00,2.0,12.63,43.75,233.65,1.26,2.68,35.76,1.76,0.45
